title,year,tomatometer,audience_score,box_office,credits,category,Director Name
Man on the Move,1972,No Score Yet,No Score Yet,,Director,Movie,William Graham
"Congratulations, It's a Boy!",1971,No Score Yet,No Score Yet,,Director,Movie,William Graham
Marriage: Year One,1971,No Score Yet,No Score Yet,,Director,Movie,William Graham
Magic Carpet,1971,No Score Yet,No Score Yet,,Director,Movie,William Graham
Thief,1971,No Score Yet,No Score Yet,,Director,Movie,William Graham
The Intruders,1970,No Score Yet,No Score Yet,,Director,Movie,William Graham
Change of Habit,1969,10,64,,Director,Movie,William Graham
Trial Run,1969,No Score Yet,No Score Yet,,Director,Movie,William Graham
Then Came Bronson,1968,No Score Yet,No Score Yet,,Director,Movie,William Graham
Submarine X-1,1968,No Score Yet,17,,Director,Movie,William Graham
Legend of Custer,1968,No Score Yet,No Score Yet,,Director,Movie,William Graham
Waterhole No. 3,1967,No Score Yet,56,,Director,Movie,William Graham
The Doomsday Flight,1966,No Score Yet,36,,Director,Movie,William Graham
William Comes to Town,1948,No Score Yet,No Score Yet,,William Brown (Character),Movie,William Graham
The Fugitive,2001-2001,No Score Yet,No Score Yet,Box office not found,Director,TV Show,William Graham
7 Days,2000-2000,No Score Yet,No Score Yet,Box office not found,Director,TV Show,William Graham
The X-Files,"1993-1994,1998",74,85,Box office not found,Director,TV Show,William Graham
Otherworld,1985-1985,No Score Yet,No Score Yet,Box office not found,Director,TV Show,William Graham
Police Story,1973-1973,No Score Yet,No Score Yet,Box office not found,Director,TV Show,William Graham
Ironside,1967-1967,No Score Yet,No Score Yet,Box office not found,Director,TV Show,William Graham
Batman,1966-1966,72,79,Box office not found,Director,TV Show,William Graham
The Fugitive,1963-1965,No Score Yet,No Score Yet,Box office not found,Director,TV Show,William Graham
The Big Valley,1965-1965,No Score Yet,No Score Yet,Box office not found,Director,TV Show,William Graham
12 O'Clock High,1965-1965,No Score Yet,No Score Yet,Box office not found,Director,TV Show,William Graham
Dr. Kildare,1962-1963,No Score Yet,No Score Yet,Box office not found,Director,TV Show,William Graham
The Virginian,1963-1963,No Score Yet,No Score Yet,Box office not found,Director,TV Show,William Graham
Route 66,1961-1962,No Score Yet,No Score Yet,Box office not found,Director,TV Show,William Graham
Erase and Forget,2017,70,No Score Yet,,Self,Movie,Ted Kotcheff
Hard,2014,No Score Yet,No Score Yet,,Therapist (Character),Movie,Ted Kotcheff
Fearless,2014,No Score Yet,No Score Yet,,Director,Movie,Ted Kotcheff
Shattered Glass,2003,92,79,2207975,Marty Peretz (Character),Movie,Ted Kotcheff
Crime in Connecticut: The Story of Alex Kelly,1999,No Score Yet,No Score Yet,,Director,Movie,Ted Kotcheff
Borrowed Hearts: A Holiday Romance,1997,No Score Yet,77,,Director,Movie,Ted Kotcheff
A Strange Affair,1996,No Score Yet,33,,Director,Movie,Ted Kotcheff
Family of Cops,1995,No Score Yet,19,,Director,Movie,Ted Kotcheff
Hidden Assassin,1995,No Score Yet,24,,Director,Movie,Ted Kotcheff
Love on the Run,1994,No Score Yet,No Score Yet,,Director,Movie,Ted Kotcheff
Red Shoe Diaries 5: Weekend Pass,1993,No Score Yet,No Score Yet,,Director,Movie,Ted Kotcheff
Red Shoe Diaries 3: Another Woman's Lipstick,1993,No Score Yet,No Score Yet,,Director,Movie,Ted Kotcheff
Folks!,1992,0%,53,5870761,Director,Movie,Ted Kotcheff
Weekend at Bernie's,1989,54,57,29433521,"Jack Parker (Character),Director",Movie,Ted Kotcheff
Winter People,1989,20,52,1314926,Director,Movie,Ted Kotcheff
Switching Channels,1988,60,32,8173623,Director,Movie,Ted Kotcheff
Joshua Then and Now,1985,No Score Yet,58,542420,Director,Movie,Ted Kotcheff
Uncommon Valor,1983,60,62,,"Director,Executive Producer",Movie,Ted Kotcheff
Split Image,1982,No Score Yet,73,,"Director,Producer",Movie,Ted Kotcheff
First Blood,1982,86,86,,Director,Movie,Ted Kotcheff
North Dallas Forty,1979,86,71,,Director,Movie,Ted Kotcheff
Who Is Killing the Great Chefs of Europe?,1978,77,70,,Director,Movie,Ted Kotcheff
Fun With Dick and Jane,1977,57,51,,Director,Movie,Ted Kotcheff
The Apprenticeship of Duddy Kravitz,1974,93,73,,Director,Movie,Ted Kotcheff
Billy Two Hats,1973,No Score Yet,44,,Director,Movie,Ted Kotcheff
Wake in Fright,1971,96,83,15518,Director,Movie,Ted Kotcheff
Two Gentlemen Sharing,1969,80,No Score Yet,,Director,Movie,Ted Kotcheff
Of Mice and Men,1968,No Score Yet,No Score Yet,,Director,Movie,Ted Kotcheff
The Human Voice,1967,No Score Yet,67,,Director,Movie,Ted Kotcheff
Life at the Top,1965,20,80,,Director,Movie,Ted Kotcheff
Tiara Tahiti,1962,No Score Yet,No Score Yet,,Director,Movie,Ted Kotcheff
Law & Order: Special Victims Unit,2000-2019,78,83,Box office not found,"Executive Producer,Director",TV Show,Ted Kotcheff
2E: Twice Exceptional,2015,No Score Yet,No Score Yet,,"Director,Producer",Movie,Tom Ropelewski
The Next Best Thing,2000,19,35,14983572,Writer,Movie,Tom Ropelewski
Look Who's Talking Now,1993,0%,29,9412409,"Director,Screenwriter",Movie,Tom Ropelewski
Madhouse,1990,0%,44,20345541,Director,Movie,Tom Ropelewski
Loverboy,1989,50,56,3887852,"Screenwriter,Executive Producer",Movie,Tom Ropelewski
7 Days,"1998-1999,2001",No Score Yet,No Score Yet,Box office not found,Writer,TV Show,Tom Ropelewski
Simon & Simon,"1986,1988-1986,1988",No Score Yet,No Score Yet,Box office not found,Writer,TV Show,Tom Ropelewski
Odds Are,2018,No Score Yet,57,,"Director,Screenwriter,Producer",Movie,Peter Markle
Silent Witness,2011,No Score Yet,62,,Director,Movie,Peter Markle
Nora Roberts' Carnal Innocence,2011,No Score Yet,30,,Director,Movie,Peter Markle
Nora Roberts' High Noon,2009,No Score Yet,50,,Director,Movie,Peter Markle
The Tenth Circle,2008,No Score Yet,34,,Director,Movie,Peter Markle
Flight 93,2006,No Score Yet,66,,Director,Movie,Peter Markle
Faith of My Fathers,2005,No Score Yet,66,,"Director,Writer",Movie,Peter Markle
Virginia's Run,2003,No Score Yet,78,,"Director,Screenwriter",Movie,Peter Markle
Saving Jessica Lynch,2003,No Score Yet,No Score Yet,,Director,Movie,Peter Markle
Target Earth,1998,No Score Yet,29,,Director,Movie,Peter Markle
The Last Days of Frankie the Fly,1997,No Score Yet,46,,"Director,Producer",Movie,Peter Markle
Jake Lassiter: Justice on the Bayou,1995,No Score Yet,No Score Yet,,Director,Movie,Peter Markle
White Dwarf,1995,No Score Yet,86,,Director,Movie,Peter Markle
Wagons East!,1994,0%,33,3730712,Director,Movie,Peter Markle
Through the Eyes of a Killer,1992,No Score Yet,83,,Director,Movie,Peter Markle
Dead and Alive,1991,No Score Yet,67,,Director,Movie,Peter Markle
El Diablo,1990,No Score Yet,59,,Director,Movie,Peter Markle
Breaking Point,1989,No Score Yet,No Score Yet,,Director,Movie,Peter Markle
Nightbreaker,1989,No Score Yet,67,,Director,Movie,Peter Markle
Bat 21,1988,82,58,3184348,Director,Movie,Peter Markle
Desperate,1987,No Score Yet,No Score Yet,,Director,Movie,Peter Markle
Youngblood,1986,44,69,14073624,"Director,Screenwriter,Producer",Movie,Peter Markle
Hot Dog ... The Movie,1984,No Score Yet,58,,Director,Movie,Peter Markle
The Personals,1982,No Score Yet,No Score Yet,,"Director,Writer,Producer,Cinematographer",Movie,Peter Markle
Three Rivers,2009-2009,31,No Score Yet,Box office not found,Director,TV Show,Peter Markle
Rescue Me,2009-2009,88,90,Box office not found,Director,TV Show,Peter Markle
Cane,2007-2007,55,No Score Yet,Box office not found,Director,TV Show,Peter Markle
Without a Trace,"2002-2003,2006",No Score Yet,75,Box office not found,Director,TV Show,Peter Markle
Runaway,2006-2006,71,No Score Yet,Box office not found,Director,TV Show,Peter Markle
Everwood,2006-2006,93,No Score Yet,Box office not found,Director,TV Show,Peter Markle
Century City,2004-2004,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Peter Markle
The Mountain,2004-2004,8,No Score Yet,Box office not found,Director,TV Show,Peter Markle
Jack & Bobby,2004-2004,88,No Score Yet,Box office not found,Director,TV Show,Peter Markle
Cold Case,2004-2004,No Score Yet,95,Box office not found,Director,TV Show,Peter Markle
CSI: Miami,2003-2003,No Score Yet,65,Box office not found,Director,TV Show,Peter Markle
The Agency,2002-2003,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Peter Markle
Haunted,2002-2002,54,No Score Yet,Box office not found,Director,TV Show,Peter Markle
NYPD Blue,"2000,2002-2000,2002",83,95,Box office not found,Director,TV Show,Peter Markle
CSI: Crime Scene Investigation,2001-2001,No Score Yet,81,Box office not found,Director,TV Show,Peter Markle
The District,2001-2001,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Peter Markle
The X-Files,"1997,1999-2000",74,85,Box office not found,Director,TV Show,Peter Markle
The Strip,1999-1999,13,No Score Yet,Box office not found,Director,TV Show,Peter Markle
L.A. Doctors,1998-1998,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Peter Markle
Moloney,1997-1997,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Peter Markle
Echelon Conspiracy,2009,0%,31,500154,Screenwriter,Movie,Kevin Alyn Elders
Jane Doe,2001,No Score Yet,56,,"Director,Screenwriter",Movie,Kevin Alyn Elders
Simon Sez,1999,0%,16,292152,Director,Movie,Kevin Alyn Elders
Aces: Iron Eagle III,1992,14,24,2513979,Screenwriter,Movie,Kevin Alyn Elders
Grow House,2017,No Score Yet,73,,"Director,Screenwriter",Movie,DJ Pooh
Friday After Next,2002,26,75,32983713,Writer,Movie,DJ Pooh
The Wash,2001,8,64,10097096,"Slim (Character),Director,Writer,Producer",Movie,DJ Pooh
3 Strikes,2000,0%,67,9821335,"Trick Turner / Taxi Driver (Character),Director,Writer",Movie,DJ Pooh
Next Friday,2000,22,76,57176582,Writer,Movie,DJ Pooh
Friday,1995,76,91,27409510,Writer,Movie,DJ Pooh
Depravity,2024,No Score Yet,No Score Yet,,"Producer,Cinematographer",Movie,Wych Kaosayananda
Latency,2024,29,24,,"Producer,Cinematographer",Movie,Wych Kaosayananda
Sheroes,2023,40,42,,"Producer,Cinematographer",Movie,Wych Kaosayananda
One Night in Bangkok,2020,33,34,,"Director,Screenwriter,Producer,Cinematographer",Movie,Wych Kaosayananda
Paradise Z,2020,No Score Yet,No Score Yet,,"Director,Writer",Movie,Wych Kaosayananda
Invincible,2020,No Score Yet,No Score Yet,,Cinematographer,Movie,Wych Kaosayananda
The Driver,2019,No Score Yet,8,,"Director,Cinematographer",Movie,Wych Kaosayananda
Zero Tolerance,2015,No Score Yet,17,,"Director,Screenwriter,Cinematographer",Movie,Wych Kaosayananda
Tekken: Kazuya's Revenge,2014,No Score Yet,9,,Director,Movie,Wych Kaosayananda
The Mark 2: Redemption,2013,No Score Yet,No Score Yet,,Cinematographer,Movie,Wych Kaosayananda
Once Upon a Time in Vietnam,2013,No Score Yet,24,,Cinematographer,Movie,Wych Kaosayananda
The Lost Medallion: The Adventures of Billy Stone,2013,No Score Yet,53,549632,Producer,Movie,Wych Kaosayananda
Ballistic: Ecks vs. Sever,2002,0%,20,14294842,"Director,Producer",Movie,Wych Kaosayananda
The Doorman,1999,No Score Yet,No Score Yet,,Junior Lopez (Character),Movie,Wych Kaosayananda
The Battle at Lake Changjin: Water Gate Bridge,2022,No Score Yet,60,,"Executive Producer,Producer",Movie,Chen Kaige
The Battle at Lake Changjin,2021,36,100,,"Director,Executive Producer",Movie,Chen Kaige
"My People, My Country",2019,No Score Yet,70,2353314,Director,Movie,Chen Kaige
Legend of the Demon Cat,2018,No Score Yet,No Score Yet,,Director,Movie,Chen Kaige
Legend of the Demon Cat,2017,91,43,,"Director,Screenwriter",Movie,Chen Kaige
Monk Comes Down the Mountain,2015,No Score Yet,39,,Director,Movie,Chen Kaige
Caught in the Web,2012,7,38,1067,Director,Movie,Chen Kaige
Sacrifice,2010,70,49,27899,"Director,Screenwriter",Movie,Chen Kaige
Forever Enthralled,2008,No Score Yet,62,,"Director,Screenwriter",Movie,Chen Kaige
Master of the Crimson Armor,2005,30,44,668171,"Director,Writer,Producer",Movie,Chen Kaige
Together,2002,73,89,1069156,"Prof. Yu Shifeng (Character),Director,Writer,Producer",Movie,Chen Kaige
Killing Me Softly,2002,0%,40,,Director,Movie,Chen Kaige
Ten Minutes Older: The Trumpet,2002,86,77,,Director,Movie,Chen Kaige
The Emperor and the Assassin,1999,81,79,1264231,"Lu Buwei (Character),Director,Writer,Executive Producer",Movie,Chen Kaige
Temptress Moon,1996,62,73,1084532,"Director,Writer",Movie,Chen Kaige
Yang & Yin: Gender in Chinese Cinema,1996,No Score Yet,83,,Unknown (Character),Movie,Chen Kaige
Farewell My Concubine,1993,91,93,332198,Director,Movie,Chen Kaige
Bawang Bie Ji,1993,No Score Yet,No Score Yet,,Director,Movie,Chen Kaige
Life on a String,1991,No Score Yet,71,,Director,Movie,Chen Kaige
Bian Zhou Bian Chang,1991,No Score Yet,No Score Yet,,Director,Movie,Chen Kaige
The Big Parade,1988,No Score Yet,No Score Yet,,Director,Movie,Chen Kaige
King of the Children,1987,No Score Yet,No Score Yet,,Director,Movie,Chen Kaige
Yellow Earth,1984,100,76,,"Director,Screenwriter",Movie,Chen Kaige
Stars at Noon,2022,62,14,36000,Screenwriter,Movie,Andrew Litvack
Merci Docteur Rey,2002,0%,65,19590,"Director,Screenwriter",Movie,Andrew Litvack
Pinocchio,2019,84,40,1830498,Geppetto (Character),Movie,Roberto Benigni
Paolo Conte: It's Wonderful,2019,No Score Yet,No Score Yet,,Self,Movie,Roberto Benigni
Cecchi Gori: Una famiglia italiana,2019,No Score Yet,No Score Yet,,Self,Movie,Roberto Benigni
Marco Ferreri: Dangerous But Necessary,2017,No Score Yet,No Score Yet,,Self,Movie,Roberto Benigni
To Rome With Love,2012,47,40,16654227,Leopoldo (Character),Movie,Roberto Benigni
Silvio Forever,2011,No Score Yet,25,,Himself (archive footage) (Character),Movie,Roberto Benigni
The Tiger and the Snow,2005,20,84,9047,"Attilio de Giovanni (Character),Director,Writer",Movie,Roberto Benigni
Coffee and Cigarettes,2003,63,75,1971135,Roberto (Character),Movie,Roberto Benigni
Caterina in the Big City,2003,90,77,293268,Self,Movie,Roberto Benigni
Pinocchio,2002,0%,33,3681811,"Pinocchio (Character),Director,Screenwriter,Producer",Movie,Roberto Benigni
Asterix & Obelix vs. Caesar,1999,No Score Yet,42,2110060,Lucius Detritus (Tullius Destructivus / Catastrofus) (Character),Movie,Roberto Benigni
Life Is Beautiful,1997,81,96,57598247,"Guido Orefice (Character),Director,Writer",Movie,Roberto Benigni
The Monster,1994,40,83,635645,"Loris (Character),Director,Producer",Movie,Roberto Benigni
Son of the Pink Panther,1993,6,18,2365290,Chief Inspector Jacques Clouseau Jr (Character),Movie,Roberto Benigni
Night on Earth,1992,77,91,2011294,Driver (Character),Movie,Roberto Benigni
Johnny Stecchino,1991,46,85,623537,"Dante/Johnny Stecchino (Character),Director,Writer",Movie,Roberto Benigni
The Voice of the Moon,1990,No Score Yet,61,,Ivo Salvini (Character),Movie,Roberto Benigni
The Little Devil,1988,No Score Yet,82,,"Giuditta (Character),Director,Writer",Movie,Roberto Benigni
Down by Law,1986,88,93,106484,Roberto (Character),Movie,Roberto Benigni
Nothing Left to Do but Cry,1984,No Score Yet,83,,"Saverio (Character),Director,Writer",Movie,Roberto Benigni
Luna,1979,46,69,,Upholsterer (Character),Movie,Roberto Benigni
Seeking Asylum,1979,No Score Yet,63,,"Roberto (Character),Screenwriter",Movie,Roberto Benigni
Clair de Femme,1979,No Score Yet,67,,Le barman du Clapsy's (Character),Movie,Roberto Benigni
Tigers in Lipstick,1979,No Score Yet,No Score Yet,,The principal (Character),Movie,Roberto Benigni
"Berlinguer, I love you",1977,No Score Yet,No Score Yet,,"Unknown (Character),Writer",Movie,Roberto Benigni
Unstoppable,2004,No Score Yet,24,,Producer,Movie,Bob Misiorowski
Derailed,2002,0%,21,,Director,Movie,Bob Misiorowski
Panic,2001,No Score Yet,11,,Director,Movie,Bob Misiorowski
Shark Attack,1999,0%,23,,Director,Movie,Bob Misiorowski
On the Border,1998,No Score Yet,10,,Director,Movie,Bob Misiorowski
Blood of the Innocent,1994,No Score Yet,No Score Yet,,Director,Movie,Bob Misiorowski
Point of Impact,1993,No Score Yet,30,,Director,Movie,Bob Misiorowski
Tombstone,1993,74,93,55873495,Producer,Movie,Bob Misiorowski
Blink of an Eye,1992,No Score Yet,56,,Director,Movie,Bob Misiorowski
Cover-Up,1991,No Score Yet,17,,Executive Producer,Movie,Bob Misiorowski
Gnaw: Food of the Gods II,1989,No Score Yet,32,,Executive Producer,Movie,Bob Misiorowski
Kill Chain,2019,No Score Yet,38,,Producer,Movie,Gary Preisler
A Little Something for Your Birthday,2017,18,44,,Producer,Movie,Gary Preisler
Misconduct,2016,7,22,,Executive Producer,Movie,Gary Preisler
Blunt Force Trauma,2015,No Score Yet,23,,Producer,Movie,Gary Preisler
Elsa & Fred,2014,33,51,,Executive Producer,Movie,Gary Preisler
Gold Diggers,2003,0%,21,403164,"Director,Writer,Producer",Movie,Gary Preisler
Eight Days a Week,1997,20,68,29252,Producer,Movie,Gary Preisler
Black Christmas,2006,13,38,16235293,Executive Producer,Movie,Bob Clark
Karate Dog,2004,No Score Yet,27,,Director,Movie,Bob Clark
SuperBabies: Baby Geniuses 2,2004,0%,24,9109322,Director,Movie,Bob Clark
Now & Forever,2001,18,81,,Director,Movie,Bob Clark
I'll Remember April,2000,No Score Yet,61,,Director,Movie,Bob Clark
Catch a Falling Star,2000,No Score Yet,No Score Yet,,Director,Movie,Bob Clark
The Dukes of Hazzard -- Hazzard in Hollywood,2000,No Score Yet,86,,"Writer,Executive Producer",Movie,Bob Clark
Baby Geniuses,1999,2,25,27141959,"Director,Screenwriter",Movie,Bob Clark
The Ransom of Red Chief,1998,No Score Yet,47,,Director,Movie,Bob Clark
My Neighbor's Daughter,1997,No Score Yet,60,,Town Mayor (Character),Movie,Bob Clark
Stolen Memories: Secrets From the Rose Garden,1996,No Score Yet,No Score Yet,,Director,Movie,Bob Clark
Fudge-A-Mania,1995,No Score Yet,No Score Yet,,Director,Movie,Bob Clark
Derby,1995,No Score Yet,No Score Yet,,Director,Movie,Bob Clark
It Runs in the Family,1994,No Score Yet,44,,"Director,Screenwriter",Movie,Bob Clark
The American Clock,1993,No Score Yet,No Score Yet,,Director,Movie,Bob Clark
Popcorn,1991,38,41,3751629,Producer,Movie,Bob Clark
Loose Cannons,1990,0%,27,4463085,"Director,Screenwriter",Movie,Bob Clark
Amazing Stories: The Movie III,1990,No Score Yet,No Score Yet,,Director,Movie,Bob Clark
From the Hip,1987,30,60,6990807,"Director,Screenwriter",Movie,Bob Clark
Turk 182!,1985,20,55,,Director,Movie,Bob Clark
Rhinestone,1984,19,36,,Director,Movie,Bob Clark
Porky's II: The Next Day,1983,10,40,,"Director,Producer",Movie,Bob Clark
A Christmas Story,1983,89,89,20730000,"Director,Writer,Producer",Movie,Bob Clark
Porky's,1981,33,57,,"Director,Producer",Movie,Bob Clark
Tribute,1980,No Score Yet,52,,Director,Movie,Bob Clark
Murder by Decree,1979,86,64,,Director,Movie,Bob Clark
The Amazing Apes,1977,No Score Yet,No Score Yet,,Director,Movie,Bob Clark
Breaking Point,1976,No Score Yet,42,,"Director,Producer",Movie,Bob Clark
Moonrunners,1975,No Score Yet,57,,Producer,Movie,Bob Clark
Black Christmas,1974,71,76,,"Director,Producer",Movie,Bob Clark
Deathdream,1974,79,65,,"Director,Producer",Movie,Bob Clark
Children Shouldn't Play With Dead Things,1972,50,40,,"Director,Screenwriter,Producer",Movie,Bob Clark
She-Man: A Story of Fixation,1967,No Score Yet,No Score Yet,,"Director,Screenwriter",Movie,Bob Clark
Amazing Stories,1985-1985,No Score Yet,82,Box office not found,Director,TV Show,Bob Clark
The Dukes of Hazzard,1979-1979,No Score Yet,No Score Yet,Box office not found,Writer,TV Show,Bob Clark
Constellation,2005,0%,40,306533,"Director,Writer,Producer",Movie,Jordan Walker-Pearlman
The Visit,2000,72,45,186444,"Producer,Director",Movie,Jordan Walker-Pearlman
Delirium,2018,0%,36,,Screenwriter,Movie,Andy Cheng
Redline,2007,0%,47,6877133,Director,Movie,Andy Cheng
End Game,2006,No Score Yet,22,,"Director,Writer",Movie,Andy Cheng
Don't Look Deeper,2020,No Score Yet,No Score Yet,,Executive Producer,Movie,Jed Weintrob
Scar,2007,0%,12,,Director,Movie,Jed Weintrob
The F Word,2005,No Score Yet,79,,Director,Movie,Jed Weintrob
On-Line,2001,38,30,165974,"Director,Writer",Movie,Jed Weintrob
Yeah My Heart Beats Loud!,1991,No Score Yet,No Score Yet,,Producer,Movie,Jed Weintrob
Don't Look Deeper,2020-2020,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Jed Weintrob
Gentlemen Lobsters,2016-2016,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Jed Weintrob
The Snake With a Thousand Cuts,2017,No Score Yet,No Score Yet,,"Director,Screenwriter",Movie,Éric Valette
The Prey,2011,70,54,,Director,Movie,Éric Valette
Super Hybrid,2010,No Score Yet,22,,Director,Movie,Éric Valette
Une affaire d'etat (State Affairs),2009,No Score Yet,65,,Director,Movie,Éric Valette
One Missed Call,2008,0%,29,26876529,Director,Movie,Éric Valette
Maléfique,2002,No Score Yet,66,,Director,Movie,Éric Valette
Finding Kendrick Johnson,2021,100,71,,Producer,Movie,Morgan J. Freeman
Homecoming,2009,0%,33,,Director,Movie,Morgan J. Freeman
Just Like the Son,2006,No Score Yet,46,,"Director,Screenwriter",Movie,Morgan J. Freeman
Born Killers,2005,No Score Yet,53,,Director,Movie,Morgan J. Freeman
American Psycho II: All American Girl,2002,11,18,,Director,Movie,Morgan J. Freeman
Desert Blue,1998,37,47,99147,"Director,Writer",Movie,Morgan J. Freeman
Hurricane,1997,88,78,334041,"Director,Writer,Producer",Movie,Morgan J. Freeman
Teen Mom: Family Reunion,2022-2024,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Morgan J. Freeman
Teen Mom: The Next Chapter,2022-2023,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Morgan J. Freeman
Teen Mom: Girls' Night In,2022-2022,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Morgan J. Freeman
Teen Mom: Young and Pregnant,2018-2022,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Morgan J. Freeman
Teen Mom,"2009-2012,2015",No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Morgan J. Freeman
Sixteen And Pregnant,"2009-2012,2014,2020",No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Morgan J. Freeman
Teen Mom 2,"2011-2012,2015",No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Morgan J. Freeman
Smile,2015-2015,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Morgan J. Freeman
Dawson's Creek,2000-2000,No Score Yet,77,Box office not found,Director,TV Show,Morgan J. Freeman
Stolen,2009,0%,39,7306,"Director,Producer",Movie,Anders Anderson
Grave Secrets,2013,No Score Yet,No Score Yet,,"Director,Producer,Original Music",Movie,David Hillenbrand
Transylmania,2009,0%,22,,Director,Movie,David Hillenbrand
National Lampoon's Dorm Daze 2,2006,No Score Yet,29,,Director,Movie,David Hillenbrand
Gamebox 1.0,2004,No Score Yet,25,,"Director,Writer",Movie,David Hillenbrand
National Lampoon's Dorm Daze,2003,0%,26,,"Director,Producer,Original Music",Movie,David Hillenbrand
Demon Island,2002,No Score Yet,19,,"Director,Writer,Producer",Movie,David Hillenbrand
King Cobra,1999,No Score Yet,28,,"Director,Producer,Writer",Movie,David Hillenbrand
White Chocolate,2018,No Score Yet,No Score Yet,,"Tony Sharp (Character),Producer",Movie,Scott Hillenbrand
Grave Secrets,2013,No Score Yet,No Score Yet,,Producer,Movie,Scott Hillenbrand
Transylmania,2009,0%,22,,Director,Movie,Scott Hillenbrand
National Lampoon's Dorm Daze 2,2006,No Score Yet,29,,"Unknown (Character),Director",Movie,Scott Hillenbrand
Gamebox 1.0,2004,No Score Yet,25,,"Director,Writer",Movie,Scott Hillenbrand
National Lampoon's Dorm Daze,2003,0%,26,,"Director,Producer",Movie,Scott Hillenbrand
Demon Island,2002,No Score Yet,19,,"Director,Writer,Producer",Movie,Scott Hillenbrand
King Cobra,1999,No Score Yet,28,,"Unknown (Character),Director,Producer",Movie,Scott Hillenbrand
Dear Comrades!,2020,93,80,,"Director,Screenwriter",Movie,Andrey Konchalovskiy
Sin,2019,94,77,,"Director,Screenwriter",Movie,Andrey Konchalovskiy
Paradise,2016,70,79,14873,"Director,Screenwriter,Producer",Movie,Andrey Konchalovskiy
The Postman's White Nights,2014,89,68,,"Director,Screenwriter,Producer",Movie,Andrey Konchalovskiy
The Go-Go Boys: The Inside Story of Cannon Films,2014,No Score Yet,60,,Unknown (Character),Movie,Andrey Konchalovskiy
The Nutcracker,2010,0%,28,190562,"Director,Screenwriter,Producer",Movie,Andrey Konchalovskiy
The Last Station,2009,70,67,6616974,Executive Producer,Movie,Andrey Konchalovskiy
Moscow Chill,2007,No Score Yet,49,,"Writer,Producer",Movie,Andrey Konchalovskiy
Gloss,2007,No Score Yet,52,,"Director,Writer",Movie,Andrey Konchalovskiy
The Lion in Winter,2003,No Score Yet,No Score Yet,,Director,Movie,Andrey Konchalovskiy
House of Fools,2002,41,82,57722,"Director,Writer,Producer",Movie,Andrey Konchalovskiy
The Odyssey,1997,No Score Yet,60,,Director,Movie,Andrey Konchalovskiy
Kurochka Ryaba,1994,No Score Yet,No Score Yet,,Director,Movie,Andrey Konchalovskiy
Kurochka Ryaba (Assia and the Hen with the Golden Eggs) (Ryaba My Chicken),1994,No Score Yet,No Score Yet,,Director,Movie,Andrey Konchalovskiy
The Inner Circle,1991,50,78,544054,Director,Movie,Andrey Konchalovskiy
Homer & Eddie,1989,0%,38,,Director,Movie,Andrey Konchalovskiy
Tango & Cash,1989,31,52,61772769,Director,Movie,Andrey Konchalovskiy
Shy People,1987,64,79,7435,"Director,Screenwriter",Movie,Andrey Konchalovskiy
Duet for One,1986,80,88,,Director,Movie,Andrey Konchalovskiy
Runaway Train,1985,83,76,7223793,Director,Movie,Andrey Konchalovskiy
Maria's Lovers,1984,43,60,,"Director,Writer,Original Music",Movie,Andrey Konchalovskiy
Siberiade,1979,No Score Yet,92,,"Director,Writer",Movie,Andrey Konchalovskiy
A Slave of Love,1976,No Score Yet,83,,Screenwriter,Movie,Andrey Konchalovskiy
Romans o vlyublyonnykh,1974,No Score Yet,No Score Yet,,Director,Movie,Andrey Konchalovskiy
The Worshipper,1973,No Score Yet,No Score Yet,,Screenwriter,Movie,Andrey Konchalovskiy
Uncle Vanya,1971,No Score Yet,94,,"Director,Screenwriter",Movie,Andrey Konchalovskiy
Asya's Happiness,1967,No Score Yet,77,,Director,Movie,Andrey Konchalovskiy
Andrei Rublev,1966,96,93,101396,Writer,Movie,Andrey Konchalovskiy
The First Teacher,1965,No Score Yet,No Score Yet,,"Director,Writer",Movie,Andrey Konchalovskiy
Steamroller and the Violin,1960,91,83,,Writer,Movie,Andrey Konchalovskiy
Sweetwater,2023,26,95,,"Director,Screenwriter,Original Music",Movie,Martin Guigui
Blood Brothers: Civil War,2021,No Score Yet,No Score Yet,3514,Executive Producer,Movie,Martin Guigui
Paradise Cove,2021,38,38,,Director,Movie,Martin Guigui
Faceless,2021,No Score Yet,No Score Yet,,Executive Producer,Movie,Martin Guigui
The Unhealer,2020,83,83,,Director,Movie,Martin Guigui
