title,year,tomatometer,audience_score,box_office,credits,category,Director Name
Paradise Alley,1978,40,44,,"Cosmo Carboni (Character),Director,Screenwriter",Movie,Sylvester Stallone
Rocky,1976,93,69,,"Rocky Balboa (Character),Writer",Movie,Sylvester Stallone
"Farewell, My Lovely",1975,70,71,,Jonnie (Character),Movie,Sylvester Stallone
Death Race 2000,1975,82,64,,"""Machine Gun"" Joe Viterbo (Character)",Movie,Sylvester Stallone
The Prisoner of Second Avenue,1975,44,67,,Youth in Park (Character),Movie,Sylvester Stallone
The Lords of Flatbush,1974,67,42,,Stanley Rosiello (Character),Movie,Sylvester Stallone
Rebel,1974,No Score Yet,No Score Yet,,Jerry Savage (Character),Movie,Sylvester Stallone
Tulsa King,2022-2024,89,84,Box office not found,"Dwight ""The General"" Manfredi (Character),Executive Producer",TV Show,Sylvester Stallone
The Family Stallone,2023-2024,89,62,Box office not found,Self,TV Show,Sylvester Stallone
The Tonight Show Starring Jimmy Fallon,"2014,2016,2019,2022,2024-2014,2016,2019,2022,2024",No Score Yet,44,Box office not found,Guest,TV Show,Sylvester Stallone
The Contender,"2005-2008,2018",No Score Yet,No Score Yet,Box office not found,"Executive Producer,Host",TV Show,Sylvester Stallone
Ultimate Beastmaster: France,2017-2018,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Sylvester Stallone
Ultimate Beastmaster: Mexico,2017-2018,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Sylvester Stallone
Ultimate Beastmaster: South Korea,2017-2018,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Sylvester Stallone
Ultimate Beastmaster: Italy,2017-2018,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Sylvester Stallone
Ultimate Beastmaster: U.S.,2017-2018,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Sylvester Stallone
Ultimate Beastmaster: Brazil,2017-2018,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Sylvester Stallone
Ultimate Beastmaster: China,2017-2017,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Sylvester Stallone
Ultimate Beastmaster: India,2017-2017,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Sylvester Stallone
Ultimate Beastmaster: Spain,2017-2017,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Sylvester Stallone
This Is Us,2017-2017,94,81,Box office not found,Himself (Guest Star),TV Show,Sylvester Stallone
Ultimate Beastmaster: Japan,2017-2017,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Sylvester Stallone
Strong,2016-2016,No Score Yet,100,Box office not found,Executive Producer,TV Show,Sylvester Stallone
The Ellen DeGeneres Show,2015-2016,No Score Yet,No Score Yet,Box office not found,Guest,TV Show,Sylvester Stallone
20/20,2016-2016,No Score Yet,No Score Yet,Box office not found,Guest,TV Show,Sylvester Stallone
The Late Show With Stephen Colbert,2015-2015,No Score Yet,50,Box office not found,Guest,TV Show,Sylvester Stallone
Late Show With David Letterman,2013-2014,100,78,Box office not found,Guest,TV Show,Sylvester Stallone
106 & Park,2014-2014,No Score Yet,No Score Yet,Box office not found,Unknown (Character),TV Show,Sylvester Stallone
The Graham Norton Show,2014-2014,No Score Yet,No Score Yet,Box office not found,Guest,TV Show,Sylvester Stallone
The View,2013-2013,No Score Yet,12,Box office not found,Guest,TV Show,Sylvester Stallone
The Tonight Show With Jay Leno,2013-2013,No Score Yet,No Score Yet,Box office not found,Guest,TV Show,Sylvester Stallone
Saturday Night Live,"1997,2013-1997,2013",No Score Yet,57,Box office not found,"Unknown (Guest Star),Host",TV Show,Sylvester Stallone
Jimmy Kimmel Live!,2010-2010,No Score Yet,42,Box office not found,Guest,TV Show,Sylvester Stallone
Piers Morgan On...,2010-2010,No Score Yet,No Score Yet,Box office not found,Unknown (Guest Star),TV Show,Sylvester Stallone
Las Vegas,2005-2005,No Score Yet,No Score Yet,Box office not found,Unknown (Guest Star),TV Show,Sylvester Stallone
The Daily Show,2000-2000,No Score Yet,No Score Yet,Box office not found,Guest,TV Show,Sylvester Stallone
