title,year,movie_url,audience_score,critics_score,synopsis,Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Aspect Ratio,Director Name,Sound Mix,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters),Creator
Blue Ice,1992,https://www.rottentomatoes.com/m/blue_ice,32,NA,An ex-British spy (Michael Caine) helps a U.S. diplomat's wife (Sean Young) and blows the lid off a deadly government cover-up.,Russell Mulcahy,"Martin Bregman, Michael Caine",,,,R,Mystery & Thriller,English,,,1h 38m,,Russell Mulcahy,"Stereo, Surround",,"Aug 30, 2005",,
Highlander II: The Quickening,1991,https://www.rottentomatoes.com/m/highlander_2_the_quickening,23,0,"In this sci-fi/fantasy sequel, Connor MacLeod (Christopher Lambert) has become an elderly man after losing his immortality. Living in a bleak future where the world is protected from solar radiation by a massive shield, MacLeod regains his youth when he kills two assassins from his home planet. This results in an ongoing battle with the villainous and powerful Gen. Katana (Michael Ironside), but MacLeod receives help when the noble Juan Ramirez (Sean Connery) returns.",Russell Mulcahy,"Peter S. Davis, Jean-Luc Defait, Ziad El Khoury, William N. Panzer",Peter Bellwood,,"Lamb Bear Entertainment, Harat Investments, Davis-Panzer Productions",R,"Fantasy, Adventure",English,,"Nov 30, 2016",1h 30m,Scope (2.35:1),Russell Mulcahy,Surround,$13.7M,,,
Ricochet,1991,https://www.rottentomatoes.com/m/1036747-ricochet,52,74,"After tracking down and arresting Earl Talbot Blake (John Lithgow), a psychotic hit man, rookie Los Angeles police officer Nick Styles (Denzel Washington) is hailed as a hero. Several years later, Styles' life appears perfect: He has married his girlfriend, started a family and risen to the position of assistant district attorney. However, his world is turned upside down when Blake escapes from prison with plans to exact brutal and well-calculated revenge.",Russell Mulcahy,"Joel Silver, Michael Levy",,,"Home Box Office (HBO), Silver Pictures",R,Action,English,,"Oct 1, 2016",1h 43m,,Russell Mulcahy,"Stereo, Surround",$20.6M,,,
Highlander,1986,https://www.rottentomatoes.com/m/highlander,79,69,"When the mystical Russell Nash (Christopher Lambert) kills a man in a sword fight in a New York City parking lot, he leaves a sliver of an ancient weapon lodged in a car in the process. After brilliant forensics specialist Brenda Wyatt (Roxanne Hart) recovers evidence of the mysterious weapon, she and her partner, Lt. Frank Moran (Alan North), embark on an investigation Of Nash that will land them in the middle of a dangerous, centuries-old feud between powerful immortals.",Russell Mulcahy,"William N. Panzer, Peter S. Davis","Gregory Widen, Peter Bellwood, Larry Ferguson","Home Box Office (HBO) [us], Image Entertainment Inc., 20th Century Fox, Anchor Bay Entertainment","20th Century Fox, Davis-Panzer Productions, Thorn EMI Screen Entertainment",R,"Fantasy, Adventure, Action",English,"Mar 7, 1986, Original","Sep 6, 2016",1h 51m,"35mm, Flat (1.85:1)",Russell Mulcahy,"Surround, Dolby",$5.7M,,,
Razorback,1984,https://www.rottentomatoes.com/m/razorback,47,58,"A big Australian pig attacks an old man (Bill Kerr), grabs a baby and kills a newswoman; her husband (Gregory Harrison) investigates.",Russell Mulcahy,Hal McElroy,,,McElroy & McElroy,R,"Horror, Fantasy",English,,"Nov 3, 2009",1h 35m,,Russell Mulcahy,Surround,,,,
Blood Crime,2002,https://www.rottentomatoes.com/m/blood_crime,23,NA,"A policeman discovers that the man he beat up, the son of a sheriff (James Caan), was later murdered.",William Graham,,"Mark Lawrence Miller, Preston A. Whitmore II",,Miramax,R,Mystery & Thriller,English,,"Oct 26, 2019",1h 36m,,William Graham,,,,,
Acceptable Risk,2001,https://www.rottentomatoes.com/m/robin_cooks_acceptable_risk,18,NA,An experimental drug affects a medical researcher (Chad Lowe) who lives in a house with connections to the Salem witch trials.,William Graham,"Randy Sutter, Robert Florio",Michael J. Murray,,Miramax,,Mystery & Thriller,English,,"Jul 26, 2020",1h 36m,,William Graham,,,,,
Sleeping With the Devil,1997,https://www.rottentomatoes.com/m/sleeping-with-the-devil,62,NA,"A woman (Shannen Doherty) flees her abusive boyfriend (Tim Matheson), whose actions left her paralyzed, and seeks a doctor's help to walk again.",William Graham,Jeffrey Morton,Ellen Weston,,,TV-PG,Drama,English,,,1h 36m,,William Graham,,,,,
The Man Who Captured Eichmann,1996,https://www.rottentomatoes.com/m/el_asesino_en_mis_manos,58,NA,"Once a high-ranking Nazi officer, Adolf Eichmann (Robert Duvall) now lives in Buenos Aires, Argentina, under an assumed name, having moved on from past atrocities and raising a family. But when a survivor recognizes Eichmann, an Israeli intelligence team is put together and dispatched to South America. Eventually, Eichmann is caught by secret agent Peter Malkin (Arliss Howard), who interrogates the man in an attempt to grasp how he was capable of committing such crimes against humanity.",William Graham,Raul Outeda,,,"Butcher's Run Films, Turner Pictures",TV-14,Drama,English,,"Feb 28, 2017",1h 36m,,William Graham,,,,,
Beauty's Revenge,1995,https://www.rottentomatoes.com/m/beautys_revenge,20,NA,"A beauty queen obsesses over and stalks the man she loves, a farmer who is trying to reconcile with another ex-girlfriend.",William Graham,"Lynne Bespflug, Jayme Pfahl",Duane Poole,,Crescent Entertainment,TV-PG,Mystery & Thriller,English,,"Oct 22, 2018",1h 38m,,William Graham,,,,,
Betrayed: A Story of Three Women,1995,https://www.rottentomatoes.com/m/betrayed-a-story-of-three-women,NA,NA,"Amanda Nelson (Meredith Baxter) and her best friend, Joan Bixler (Swoosie Kurtz), are happy suburbanites until a lurid affair involving both their families upsets their domestic ease. Dana (Clare Carey), Joan's daughter, begins sleeping with Rob (John Terry), Amanda's husband, and the revelation of this romance dredges up long-buried jealousies and grudges. Joan and Amanda have always turned to each other for emotional support, but this particular problem threatens to destroy their bond.",William Graham,,,,,TV-PG (S),Drama,English,,"May 23, 2017",1h 36m,,William Graham,,,,,
A Friend to Die For,1994,https://www.rottentomatoes.com/m/death_of_a_cheerleader,52,NA,Tragedy results when a teenager's desire to become more popular in her high school fuels jealousy toward a classmate.,William Graham,Barry Bernardi,"Randall Sullivan, Dan Bronson",,Steve White Productions,TV-PG,Drama,English,,"Dec 1, 2017",1h 34m,,William Graham,,,,,
Elvis and the Colonel: The Untold Story,1993,https://www.rottentomatoes.com/m/elvis_and_the_colonel_the_untold_story,NA,NA,"Colonel Tom Parker (Beau Bridges) becomes Elvis Presley's (Rob Youngblood) manager, assuming control of his rock 'n' roll fortune.",William Graham,Daniel A Sherkow,"Phil Penningroth, Frank Furino",,,,Drama,English,,,1h 40m,,William Graham,,,,,
Beyond Suspicion,1993,https://www.rottentomatoes.com/m/beyond_suspicion_1993,NA,NA,The wife (Markie Post) of a small-town dentist (Corbin Bernsen) helps a federal agent (Kelsey Grammer) nab him for seven murders committed over 22 years.,William Graham,,,,,TV-14,Mystery & Thriller,English,,,1h 36m,,William Graham,,,,,
Bed of Lies,1992,https://www.rottentomatoes.com/m/bed_of_lies,NA,NA,"Flashbacks and a custody battle show a woman (Susan Dey) led to kill her husband (Chris Cooper), son of a former Texas governor.",William Graham,Andrew Gottlieb,,,,TV-14 (V|L|D),Drama,English,,,1h 40m,,William Graham,,,,,
Return to the Blue Lagoon,1991,https://www.rottentomatoes.com/m/return_to_the_blue_lagoon,41,0,"When widow Sarah Hargrave (Lisa Pelikan) washes ashore on a tropical island with her daughter and adopted son, she learns how to survive and raise the two children on her own. After her death, the kids -- Lilli (Milla Jovovich) and Richard (Brian Krause) -- are forced to continue their uncivilized lives without any parental guidance, and, as they enter young adulthood, they begin to fall in love. Their Eden-like existence is threatened, however, when outsiders arrive on the island.",William Graham,"William Graham, Peter Bogart",,,Columbia Pictures Corporation,PG-13,Romance,English,,"Mar 1, 2011",1h 42m,,William Graham,Surround,$2.3M,,,
Montana,1990,https://www.rottentomatoes.com/m/le_dernier_cow_boy,NA,NA,"Ranchers (Richard Crenna, Gena Rowlands) and their children are divided over whether to sell their land.",William Graham,,Larry McMurtry,,,TV-PG,Western,English,,,1h 37m,,William Graham,,,,,
True Blue,1989,https://www.rottentomatoes.com/m/true_blue_1989,NA,NA,A special New York police rescue team deals with a dangerous hostage situation. Pilot for the TV series.,William Graham,,,,NBC Productions,,Action,English,,,1h 36m,,William Graham,,,,,
Billy the Kid,1989,https://www.rottentomatoes.com/m/gore_vidals_billy_the_kid,50,NA,Gore Vidal's account of the gunslinger's rise to outlaw status and his relationship with friend-turned-foe Pat Garrett.,William Graham,,Gore Vidal,,,TV-PG,Biography,English,,,1h 36m,,William Graham,,,,,
Street of Dreams,1988,https://www.rottentomatoes.com/m/street_of_dreams,NA,NA,A beach-bum private eye (Ben Masters) follows a down-and-out blonde (Morgan Fairchild) through the Hollywood underworld.,William Graham,,,,,,Mystery & Thriller,English,,,1h 33m,,William Graham,,,"Jan 2, 2007",,
Deadly Enemies,1988,https://www.rottentomatoes.com/m/supercarrier,NA,NA,"The crew of the U.S.S. Georgetown ""Supercarrier"" learns that a deadly virus has been unleashed on board.",William Graham,Richard Maynard,,,,,Action,English,,,1h 34m,,William Graham,,,,,
Proud Men,1987,https://www.rottentomatoes.com/m/proud_men,NA,NA,"After years of absence, Charley Jr. (Peter Strauss) brings his wife and child to the ranch on which he grew up, hoping to reconcile with his mortally ill father (Charlton Heston). But Charley Sr. is still rankled by his son's pacifism, and the two argue constantly. Moreover, it seems the father has been publicly ridiculing his son for years, because whenever Jr.'s family goes into town they are shunned by the populace. As time runs out, the men struggle with each other and with themselves.",William Graham,Robert M. Sertner,Jeff Andrus,,"Agamemnon Films, Von Zerneck-Samuels Productions, Samuels Film Company",,Drama,English,,,1h 40m,,William Graham,,,"Jun 5, 2012",,
Police Story: The Freeway Killings,1987,https://www.rottentomatoes.com/m/police_story_the_freeway_killings,NA,NA,"Big-city police (Angie Dickinson, Richard Crenna, Ben Gazzara) deal with personal and political problems while hunting down a killer.",William Graham,Charles B. Fitzsimons,Mark Rodgers,,"MGM Television, David Gerber Productions, Columbia Pictures Television",,"Crime, Drama",English,,,2h 23m,,William Graham,,,,,
The Last Days of Frank and Jesse James,1986,https://www.rottentomatoes.com/m/last_days_of_frank_and_jesse_james,66,NA,"The outlaw brothers (Kris Kristofferson, Johnny Cash) go from the Civil War to robbing trains to farming under assumed names.",William Graham,Phillip Cates,William Stratton,,Joseph Cates Productions,PG,Western,English,,"Nov 20, 2017",1h 40m,,William Graham,,,,,
George Washington: The Forging of a Nation,1986,https://www.rottentomatoes.com/m/george_washington_ii_the_forging_of_a_nation,80,NA,The first U.S. president (Barry Bostwick) and his wife (Patty Duke) endure two terms of turmoil from 1789 to 1797.,William Graham,,,,,,"History, Drama, Biography",English,,,3h 20m,,William Graham,,,,,
The Calendar Girl Murders,1984,https://www.rottentomatoes.com/m/calendar_girl_murders,24,NA,"Wealthy Richard Trainor (Robert Culp) publishes a calendar featuring sexy nude women and is pleased when it's a big success. But at his party celebrating the event, the models start dying: Miss January is shoved off a building, and then Miss February is stabbed. Lt. Dan Stoner (Tom Skerritt) takes the case, becoming friendly with photographer Cassie Bascomb (Sharon Stone) in the process. When Cassie is also attacked, Stoner must find out how she's connected before the other women are killed.",William Graham,James O'Fallon,,,Tisch/Avnet Productions Inc.,TV-14,Mystery & Thriller,English,,"Mar 6, 2019",1h 37m,,William Graham,,,,,
Secrets of a Married Man,1984,https://www.rottentomatoes.com/m/secrets_of_a_married_man,40,NA,A man (William Shatner) with a wife (Michelle Phillips) and family is set up for blackmail by his favorite prostitute (Cybill Shepherd).,William Graham,R.W. Goodwin,,,,,Drama,English,,,1h 40m,,William Graham,,,,,
Women of San Quentin,1983,https://www.rottentomatoes.com/m/miracle_of_san_quentin,NA,NA,A rookie guard (Amy Steel) and her boss (Stella Stevens) face a hostage crisis and a riot at the maximum-security prison.,William Graham,"Stephen Cragg, R.W. Goodwin",Mark Rodgers,,MGM/UA Television,TV-14,Drama,English,,,1h 32m,,William Graham,,,,,
The Last Ninja,1983,https://www.rottentomatoes.com/m/the-last-ninja,57,NA,An art dealer (Michael Beck) and his sister (Nancy Kwan) rescue scientists from terrorists in a bomb-rigged Dallas penthouse.,William Graham,Tony Spinner,,,,,Action,English,,,1h 40m,,William Graham,,,,,
M.A.D.D.: The Candy Lightner Story,1983,https://www.rottentomatoes.com/m/madd_mothers_against_drunk_drivers,NA,NA,"Outraged by her daughter's death, a California woman (Mariette Hartley) forms Mothers Against Drunk Driving.",William Graham,Michael Braverman,,,,,Drama,English,,,1h 40m,,William Graham,,,,,
Harry Tracy,1982,https://www.rottentomatoes.com/m/harry-tracy,27,NA,"Famed outlaw Harry Tracy (Bruce Dern) is known for his daring train robberies, but lately he's concentrating more on matters of the heart. That's why he's traveling to Oregon to reunite with his sweetheart, Catherine Tuttle (Helen Shaver). She's the daughter of a judge, and it's no surprise that, when Tracy gets to Portland, he winds up behind bars. But no jail built can hold the desperado, and, after breaking out, Tracy finds himself on the run from every lawman in the state.",William Graham,Ronald I. Cohen,R. Lance Hill,,"Sid & Marty Krofft, Canadian Film Development Corporation (CFDC)",PG,Western,English,,"May 1, 2021",1h 40m,,William Graham,,,,,
American Eagle,1982,https://www.rottentomatoes.com/m/american_eagle_1982,NA,NA,A helicopter pilot helps a former girlfriend retrieve information that could send a criminal kingpin to jail.,William Graham,,,,,,"Action, Drama",English,,,1h 40m,,William Graham,,,,,
Deadly Encounter,1982,https://www.rottentomatoes.com/m/deadly_encounter-1982,NA,NA,An ex-combat helicopter pilot (Larry Hagman) helps a widowed ex-girlfriend (Susan Anspach) find the black book her husband kept from mobsters.,William Graham,"Paul Cameron, Robert Boris",,,,,Adventure,English,,,1h 40m,,William Graham,,,,,
Rage,1980,https://www.rottentomatoes.com/m/rage,NA,NA,"In this made-for-TV movie, Cal Morrisey (David Soul) is a husband and father convicted of rape who is serving time in an institution and attempting to confront the reasons he ended up there. Using techniques of group therapy with fellow inmates, Morrisey is prompted by his therapist, Borski (James Whitmore), to delve into his difficult past for answers. What he discovers is a lifetime of pain that has scarred him deeply, but nevertheless may lead him on the path to recovery.",William Graham,,,,,,Drama,English,,,1h 40m,,William Graham,,,,,
Transplant,1979,https://www.rottentomatoes.com/m/transplant_2011,NA,NA,A young businessman (Kevin Dobson) with a wife (Melinda Dillon) and family weighs his options after a heart attack.,William Graham,,,,,,Drama,English,,,1h 38m,,William Graham,,,,,
Orphan Train,1979,https://www.rottentomatoes.com/m/orphan_train,NA,NA,"In 1854, the Children's Aid Society initiates a program to relocate thousands of New York's orphaned children to the homes of adoptive parents throughout the Midwest. Minister's daughter Emma Symms (Jill Eikenberry) looks after the first group of children as they travel by train across several states. They're also accompanied by journalist Frank Carlin (Kevin Dobson), who documents the journey and the various obstacles -- fire, a train wreck, disagreeable locals -- that slow it down.",William Graham,Dorothea G. Petrie,,,,,"History, Drama",English,,,2h 36m,,William Graham,,,,,
Cindy,1978,https://www.rottentomatoes.com/m/cindy_1978,NA,NA,"In this African-American retelling of ""Cinderella,"" southern girl Cindy (Charlaine Woodard) must move to World War II-era Harlem, N.Y., after her father remarries. Cindy's new life becomes fraught with trouble as she finds herself tormented by her overbearing stepmother and relentless stepsisters. Cindy sneaks out one night and meets gallant Marine Joe Prince (Clifton Davis), falling for him instantly. But will Cindy ever see Prince again? An old tennis shoe may hold the key to her happiness.",William Graham,,,,,,Musical,English,,,1h 37m,,William Graham,,,,,
One in a Million: The Ron LeFlore Story,1978,https://www.rottentomatoes.com/m/one_in_a_million_the_ron_leflore_story,NA,NA,"Raised in the ghetto, he (LeVar Burton) serves time for robbery and then tries out for the Detroit Tigers.",William Graham,William S. Gilmore,,,,,Biography,English,,,1h 40m,,William Graham,,,,,
And I Alone Survived,1978,https://www.rottentomatoes.com/m/and_i_alone_survived,67,NA,Based on Lauren Elder's (Blair Brown) account of her ordeal after a 1976 plane crash with two companions in the Sierra Nevada.,William Graham,,,,,,Drama,English,,,1h 40m,,William Graham,,,,,
Contract on Cherry Street,1977,https://www.rottentomatoes.com/m/contract_on_cherry_street,NA,NA,A policeman devises an unorthodox plan for bringing criminals to justice after his partner is brutally gunned down.,William Graham,Hugh Benson,,,"Artanis Productions Inc., Columbia Pictures Television",TV-PG,"Crime, Drama, Mystery & Thriller",English,,,2h 30m,,William Graham,,,"Apr 13, 2011",,
Minstrel Man,1977,https://www.rottentomatoes.com/m/minstrel_man_1977,NA,NA,"Two brothers (Glynn Turman, Stanley Clay) form a non-degrading Southern minstrel troupe during the birth of ragtime.",William Graham,"Mitchell Brower, Robert Lovenheim",,,,,Drama,English,,,1h 40m,,William Graham,,,,,
The Amazing Howard Hughes,1977,https://www.rottentomatoes.com/m/amazing_howard_hughes,58,NA,"This biographical drama focuses on the fascinating life of Texas billionaire Howard Hughes (Tommy Lee Jones). A Renaissance man, he succeeds in such wildly divergent endeavors as aviation and Hollywood filmmaking. But for all his outward dash and brio, Hughes was privately tormented by demons that got the better of him over time. Toward the end of his life, the once-dashing man becomes a recluse, refusing to cut his hair and nails, and communicating only with his most trusted advisers.",William Graham,"Herbert Hirschman, Paul Cameron",,,,,Biography,English,,,3h 35m,,William Graham,,,,,
21 Hours at Munich,1976,https://www.rottentomatoes.com/m/21_horas_en_munich,56,NA,"The most famous sporting event in the world is rocked by an act of political violence, and the police are forced to act quickly in order to prevent more carnage. At the 1972 Summer Olympics in Munich, Germany, militant group Black September murders two Israeli athletes and takes several others hostage in an effort to win the release of Palestinian detainees. As the situation becomes increasingly dangerous, Munich's police chief (William Holden) tries to end the crisis.",William Graham,"Frank von Zerneck, Robert Greenwald","Edward Hume, Howard Fast",,Filmways Television,,Drama,English,,"Sep 16, 2008",1h 40m,,William Graham,,,,,
Shark Kill,1976,https://www.rottentomatoes.com/m/shark_kill,NA,NA,A Navy-trained skin diver and a marine biologist become ocean adventurers and set sail in search of a killer white shark.,William Graham,Barry Weitz,Sandor Stern,,D'Antoni/Weitz Productions,,Adventure,English,,,1h 14m,,William Graham,,,"Apr 17, 2007",,
"Part 2, Sounder",1976,https://www.rottentomatoes.com/m/sounder_part_2,NA,NA,"In a continuation of the 1972 film ""Sounder,"" the Morgan family -- Nathan (Harold Sylvester), Rebecca (Ebony Wright) and children David, Earl and Josie -- once more struggle as sharecroppers in Depression-era Louisiana. Progressive teacher Camille Johnson's plans to move north galvanize the Morgans and the black community into building their own school. But, despite Nathan's continued support of David's ongoing education, Rebecca remains doubtful that it will benefit her son in the long run.",William Graham,,,,,G,Drama,English,"Oct 13, 1976, Limited",,1h 38m,,William Graham,,,,,
Perilous Voyage,1976,https://www.rottentomatoes.com/m/perilous_voyage,NA,NA,Two revolutionaries plan to overthrow the government of a Latin American country and set up their own dictator.,William Graham,Jack Laird,,,,,Drama,English,,,1h 37m,,William Graham,,,,,
Sounder Part II,1976,https://www.rottentomatoes.com/m/sounder_part_ii,NA,NA,"In this sequel to ""Sounder,"" controversial schoolteacher Camille (Annazette Chase) is offered a teaching job in Cleveland after the local school where she works is closed. The town has only four weeks to construct a new building for her before she leaves. Spurred by his son David (Darryl Young), Nathan Lee (Harold Sylvester) spearheads a campaign against white opposition to build a new schoolhouse before the close-knit black sharecropping community loses its only educator.",William Graham,Terry Nelson,,,,G,Drama,English,,,1h 38m,,William Graham,,,,,
Beyond the Bermuda Triangle,1975,https://www.rottentomatoes.com/m/beyond-the-bermuda-triangle,NA,NA,A retired businessman (Fred MacMurray) looks for his fiancee and friends in the infamous region of lost ships.,William Graham,Ron Roth,Charles McDaniel,,Playboy Productions Inc.,,Drama,English,,"Feb 1, 2016",1h 18m,,William Graham,,,,,
Get Christie Love!,1974,https://www.rottentomatoes.com/m/get_christie_love,36,NA,A beautiful detective (Teresa Graves) goes under cover to investigate a huge drug ring in Los Angeles.,William Graham,Peter Nelson,George Kirgo,,"Wolper Productions, Universal Television",,Action,English,,"Aug 11, 2016",1h 15m,,William Graham,,,,,
Where the Lilies Bloom,1974,https://www.rottentomatoes.com/m/where-the-lilies-bloom,84,NA,"In rural North Carolina, a father dies, leaving his four children orphans. Rather than go to the authorities and wind up wards of the state, they decide to fend for themselves. Fifteen-year-old Mary Call (Julie Gholson) takes on the role of the adult and, along with her brother (Matthew Burrill) and sisters, hides the death of their father from the adult world -- including their adoring schoolteacher, Miss Fleetie, and pesky farmer Kiser Pease, who has eyes for Mary.",William Graham,Robert B. Radnitz,Earl Hamner Jr.,,Radnitz/Mattel Productions,G,Drama,English,"Apr 10, 1974, Limited","Jan 1, 2020",1h 36m,,William Graham,,,,,
Trapped Beneath the Sea,1974,https://www.rottentomatoes.com/m/trapped_beneath_the_sea,NA,NA,"Four men struggle to survive in a mini-sub, disabled off the coast of Florida. Based on a 1973 incident.",William Graham,Frank Capra Jr.,,,,,Drama,English,,,1h 37m,,William Graham,,,,,
Larry,1974,https://www.rottentomatoes.com/m/larry,NA,NA,A 26-year-old (Frederic Forrest) re-enters society after mistakenly spending his life in a mental institution.,William Graham,"Mitchell Brower, Robert Lovenheim",David Seltzer,,Tomorrow Entertainment,,Drama,English,,,1h 18m,,William Graham,,,,,
Together Brothers,1973,https://www.rottentomatoes.com/m/together_brothers,64,NA,"In one of the poorer neighborhoods of Galveston, Texas, a respected black police officer is killed, and the only witness to the crime is 5-year-old Tommy (Anthony Wilson). The killers want to silence the boy but don't reckon on his older brother, H.J. (Ahmad Nurradin), the leader of a local gang of black and Latino youths called ""Brothers United."" The gang members make it their mission to protect Tommy while simultaneously working to bring the cop killers to justice.",William Graham,Robert L. Rosen,"Jack DeWitt, Joseph Green",,Twentieth Century Fox,PG,Mystery & Thriller,English,,,1h 34m,,William Graham,,,"Mar 24, 2015",,
Birds of Prey,1973,https://www.rottentomatoes.com/m/1002449-birds_of_prey,47,NA,A Salt Lake City traffic-helicopter pilot (David Janssen) conducts an aerial pursuit of bank robbers.,William Graham,Alan A. Armer,Robert Boris,,Tomorrow Entertainment,,Mystery & Thriller,English,,"Oct 31, 2019",1h 21m,,William Graham,,,,,
The Police Story,1973,https://www.rottentomatoes.com/m/the_police_story,NA,NA,"Sgt. LaFrieda (Vic Morrow), part of Lt. Blodgett's (Edward Asner) squad, catches chronic criminal Slow Boy (Chuck Connors).",William Graham,David Gerber,,,,,"Crime, Drama",English,,,1h 37m,,William Graham,,,,,
Shirts/Skins,1973,https://www.rottentomatoes.com/m/shirts_skins,NA,NA,"When the pressures of work becomes overwhelming, a group of white-collar professionals meet up at a New York City gym to shoot some hoops and let off steam. The ""Shirts"" -- Sidney (Rene Auberjonois), Jerry (Leonard Frey) and Francis (Doug McClure) -- face off against the ""Skins"" -- Teddy (Bill Bixby), Benny (McLean Stevenson) and Dick (Robert Walden). One day, they up the ante and extend their usual basketball showdown into a wacky hide-and-seek match across the city.",William Graham,"Bruce Paltrow, Hugh Benson",,,,,Comedy,English,,,1h 14m,,William Graham,,,,,
Mr. Inside/Mr. Outside,1973,https://www.rottentomatoes.com/m/mr_insidemr_outside,NA,NA,"Two New York police detectives (Tony Lo Bianco, Hal Linden) link smuggling to a foreign official with diplomatic immunity.",William Graham,George Goodman,,,,,"Crime, Drama",English,,,1h 14m,,William Graham,,,,,
Honky,1972,https://www.rottentomatoes.com/m/honky,NA,NA,Drug dealings transform an innocent interracial romance into a deadly affair.,William Graham,,,,,R,Drama,English,"Nov 26, 1971, Original",,1h 29m,,William Graham,,,,,
"Cry for Me, Billy",1972,https://www.rottentomatoes.com/m/cry_for_me_billy,NA,NA,A young gunfighter (Cliff Potts) falls in love with an Indian survivor (Oaxchitl) of a cavalry massacre.,William Graham,,David Markson,,Brut Productions,R,Western,English,,,1h 33m,,William Graham,,,,,
Jigsaw,1972,https://www.rottentomatoes.com/m/jigsaw_1972,NA,NA,A framed police lieutenant is caught in a web of deception when he can't produce the body of a suspect he says he shot.,William Graham,Stanley Kallis,,,,,"Crime, Drama",English,,,1h 40m,,William Graham,,,,,
Man on the Move,1972,https://www.rottentomatoes.com/m/man_on_the_move,NA,NA,Both the body and the witness are missing in this murder mystery that threatens a police lieutenant's life and career.,William Graham,,,,,,"Crime, Drama",English,,,1h 40m,,William Graham,,,,,
"Congratulations, It's a Boy!",1971,https://www.rottentomatoes.com/m/congratulations_its_a_boy,NA,NA,A confirmed bachelor (Bill Bixby) comes face to face with a teenager who claims to be his son.,William Graham,Aaron Spelling,Stanley Z. Cherry,,Aaron Spelling Productions,,"Comedy, Drama",English,,"Mar 10, 2017",1h 13m,,William Graham,,,,,
Marriage: Year One,1971,https://www.rottentomatoes.com/m/marriage_year_one,NA,NA,A medical student (Robert Pratt) marries an heiress (Sally Field) but insists they live on his budget.,William Graham,Steven Karpf,"Elinor Karpf, Steven Karpf",,,,"Romance, Comedy",English,,,1h 37m,,William Graham,,,,,
Magic Carpet,1971,https://www.rottentomatoes.com/m/magic_carpet,NA,NA,Passengers pose problems for an American coed (Susan Saint James) working as a bus-tour guide in Italy.,William Graham,Ranald MacDougall,,,,,Comedy,English,,,1h 37m,,William Graham,,,,,
Thief,1971,https://www.rottentomatoes.com/m/thief,NA,NA,"A veteran burglar (Richard Crenna) wants to quit, but he can't until he pays off a gambling debt.",William Graham,Ron Roth,,,"Metromedia Productions, Stonehenge Productions",,Mystery & Thriller,English,,,1h 14m,,William Graham,,,,,
The Intruders,1970,https://www.rottentomatoes.com/m/the_intruders,NA,NA,A gunslinger turned marshal (Don Murray) lacks the nerve to face Jesse James and the Younger brothers.,William Graham,James Duff McAdams,,,,,Western,English,,"May 22, 2017",1h 36m,,William Graham,,,,,
Change of Habit,1969,https://www.rottentomatoes.com/m/change_of_habit,64,10,"Dr. John Carpenter (Elvis Presley) takes the job of running a health center in a low-income district. He enlists three women to help out who -- unbeknownst to him -- are actually nuns in street clothes. The church wants to improve the neighborhood but fears that nuns in full habit would not be well received. Unaware of her unavailability, John falls for Sister Michelle (Mary Tyler Moore), serenading her with his guitar -- which, luckily for him, effectively wears away at her religious resolve.",William Graham,,,Universal Pictures,Universal/Universal Int,G,Drama,English,"Nov 10, 1969, Wide","Nov 30, 2016",1h 33m,,William Graham,,,,,
Trial Run,1969,https://www.rottentomatoes.com/m/trial_run_1969,NA,NA,An ambitious San Francisco lawyer (James Franciscus) makes his boss (Leslie Nielsen) squirm as he defends a man for killing his wife.,William Graham,Jack Laird,,,,,Drama,English,,,1h 38m,,William Graham,,,,,
Then Came Bronson,1968,https://www.rottentomatoes.com/m/then_came_bronson,NA,NA,A quiet Californian (Michael Parks) takes off on a motorcycle to find the meaning of life.,William Graham,Robert H. Justman,,,,PG,Drama,English,,,1h 40m,,William Graham,,,"Feb 24, 2010",,
Submarine X-1,1968,https://www.rottentomatoes.com/m/submarine_x_1,17,NA,"Cmdr. Richard Bolton (James Caan) was in charge of a submarine that was sunk by a German ship, and he has been blamed for the loss of 50 sailors. Now exonerated of misconduct, he is heading a mission to use minisubs to reach a German battleship commanded by Capt. Erlich (George Pravda). During training, Bolton encounters some of his previous crew members, all of whom harbor grudges against him, which further complicates the already dangerous mission.",William Graham,Alex Gordon,Donald S. Sanford,,"Mirisch Films, Oakmont Productions",G,War,English,,,1h 29m,,William Graham,,,"Apr 19, 2005",,
Legend of Custer,1968,https://www.rottentomatoes.com/m/legend_of_custer,NA,NA,"Lt. Col. George A. Custer (Wayne Maunder) and his men (Slim Pickens, Peter Palmer) shape up the 7th Cavalry.",William Graham,,,,20th Century Fox,,Western,English,,,1h 34m,,William Graham,,,,,
Waterhole No. 3,1967,https://www.rottentomatoes.com/m/waterhole_no_3,56,NA,"Cavalry soldiers led by Sgt. Henry Foggers (Claude Akins) steal a shipment of gold bullion and bury it at a desert waterhole near the Wild West town of Integrity. When slick gambler Lewton Cole (James Coburn) catches wind of the booty, he schemes to collect it for himself, setting off an escalating series of double crosses involving Foggers, Sheriff Copperud (Carroll O'Connor), local madam Lavinia (Joan Blondell) and the sheriff's beautiful daughter (Margaret Blye).",William Graham,,,,Geoffrey Productions,,"Western, Comedy",English,,"Jan 14, 2017",1h 35m,,William Graham,,,,,
