鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大安區,建物,台北市大安區忠孝東路3段192號2樓之2,0.0,商,,,1011129,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0760423,110.46,1,0,1,有,有,無,34000,308,,0.0,0,,RPVNMLPLKIHFFFA28DC
大安區,建物,台北市大安區復興南路二段148號3樓之1,0.0,商,,,1011224,土地0建物1車位0,三層,11,辦公商業大樓,,鋼筋混凝土造,,164.49,4,2,1,有,有,有,58888,358,,0.0,0,,RPUNMLPLKIHFFFA08CC
大安區,建物,台北市大安區忠孝東路四段216巷29號4樓之5,0.0,住,,,1011219,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,91.71,3,2,2,有,有,有,40000,436,,0.0,0,,RPWPMLPLKIHFFFA48CC
大安區,建物,台北市大安區安和路1段113號7樓-2,0.0,住,,,1011224,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.50999999999999,2,1,2,有,有,有,32000,268,,0.0,0,,RPQQMLPLKIHFFFA97CC
大安區,建物,台北市大安區信義路4段265巷17-1號9樓-8,0.0,住,,,1011220,土地0建物1車位0,九層,13,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0980212,62.45,1,1,2,有,有,有,41200,660,,0.0,0,,RPRQMLPLKIHFFFA08CC
大安區,建物,台北市大安區仁愛路三段123巷26弄7號六樓,0.0,住,,,1011217,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690107,139.95,4,2,2,有,無,有,48000,343,,0.0,0,,RPTQMLPLKIHFFFA28CC
大安區,建物,台北市大安區溫州街51之1號2樓,0.0,住,,,1011221,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,54.15,2,2,1,有,無,無,18000,332,,0.0,0,,RPVQMLPLKIHFFFA48CC
士林區,建物,台北市士林區天母北路35號1樓,0.0,,,,1011218,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651105,107.88,1,1,2,有,無,無,63000,584,,0.0,0,,RPTNMLPLKIHFFEA87CC
北投區,建物,台北市北投區裕民二路41號9樓之1,0.0,商,,,1011211,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950630,135.69,3,1,2,有,有,有,68000,501,,0.0,0,,RPWNMLPLKIHFFEA18CC
士林區,建物,台北市士林區中正路235巷47號2樓,52.14,,,,1011205,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0960730,52.14,0,1,1,有,無,有,38000,729,,0.0,0,,RPPOMLPLKIHFFEA57CC
