鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,房地(土地+建物),台北市中山區中山北路一段53巷26號9樓之1,16.76,商,,,1011101,土地1建物1車位0,九層,10,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0971030,109.69,2,1,1,有,有,有,35000,319,,0.0,0,,RPUNMLLJJIHFFCA07CC
內湖區,建物,台北市內湖區內湖路三段3號1樓,608.0,,,,1011101,土地0建物1車位0,一層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0840125,40.74,0,0,0,無,無,無,31000,761,,0.0,0,,RPUOMLLJJIHFFCA17CC
內湖區,建物,台北市內湖區成功路三段87之1號二樓B室,0.0,商,,,1011005,土地0建物0車位0,二層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0720610,37.13,1,0,1,有,有,有,10500,283,,0.0,0,,RPOPMLLJJIHFFCA66CC
大同區,房地(土地+建物),台北市大同區涼州街2號14樓之3,25.18,商,,,1011010,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000318,193.52,4,1,1,有,有,無,40000,207,,0.0,0,,RPSNMLLJJIHFFBA76CC
中正區,建物,台北市中正區衡陽路36號8樓,0.0,商,,,1011016,土地0建物1車位0,八層,13,辦公商業大樓,商業用,鋼筋混凝土造,0830407,116.81,2,1,1,有,有,有,40000,342,,0.0,0,,RPOOMLLJJIHFFBA09CC
信義區,建物,台北市信義區信義路五段150號404號4樓,0.0,住,,,1011031,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,加強磚造,0581015,47.73,2,1,1,有,無,有,11000,230,,0.0,0,,RPSPMLLJJIHFFDA17CC
信義區,建物,台北市信義區信義路四段379號4樓、5樓及381號5樓及385號2樓、3樓、4樓、5樓,0.0,其他,,,1011011,土地0建物7車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,619.2,0,0,0,無,無,無,185000,299,,0.0,0,,RPQSMLLJJIHFFDA27CC
士林區,建物,台北市士林區中山北路6段766號,167.0,住,,,1011031,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0540907,211.08,0,0,0,無,無,無,155000,734,,0.0,0,,RPXNMLLJJIHFFEA57CC
大安區,建物,台北市大安區安和路一段90巷4號,0.0,其他,,,1011025,土地0建物1車位0,一層,6,店面(店鋪),,鋼筋混凝土造,,165.25,0,0,0,無,無,無,77778,471,,0.0,0,,RPRNMLLJJIHFFFA07CC
大安區,房地(土地+建物),台北市大安區忠孝東路四段303號4樓,11.02,商,,,1011201,土地3建物1車位0,四層,12,辦公商業大樓,商業用,鋼筋混凝土造,,142.39,0,0,0,無,有,無,50000,351,,0.0,0,,RPPOMLLJJIHFFFA96CC
大安區,建物,台北市大安區仁愛路三段53之5號25樓,0.0,住,,,1010816,土地0建物1車位2,二十五層,28,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0941005,497.72,5,2,5,有,有,有,330000,663,坡道平面,0.0,0,,RPVOMLLJJIHFFFA57CC
大安區,建物,台北市大安區仁愛路四段62號12樓之7,0.0,其他,,,1010806,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,41.36,1,1,1,有,有,有,20000,484,,0.0,0,,RPWOMLLJJIHFFFA67CC
大安區,建物,台北市大安區富陽街165號10樓之1,0.0,住,,,1010808,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940506,54.38,1,1,1,有,有,有,23000,423,,0.0,0,,RPOPMLLJJIHFFFA96CC
信義區,建物,台北市信義區松智路1號10樓,0.0,商,,,1011029,土地0建物0車位0,十層,27,辦公商業大樓,見其他登記事項,見其他登記事項,0980320,191.22,0,0,0,無,有,無,166563,871,,0.0,0,,RPQRMLLJJIHFFDA27DC
文山區,房地(土地+建物),台北市文山區羅斯福路五段192巷33號1樓,497.0,住,,,1011010,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681120,87.63,0,0,0,無,無,無,24000,274,,0.0,0,,RPWNMLMJJIHFFAA17CC
文山區,建物,台北市文山區仙岩路１６巷７０之9號２樓,0.0,住,,,1011010,土地0建物1車位0,二層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870327,54.23,1,1,1,有,有,有,11500,212,,0.0,0,,RPXQMLMJJIHFFAA57CC
大安區,房地(土地+建物),台北市大安區忠孝東路3段237巷12號1樓,273.0,住,,,1011026,土地3建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,95.6,0,0,0,無,無,無,52800,552,,0.0,0,,RPQNMLMJJIHFFFA17DC
大安區,建物,台北市大安區仁愛路4段222巷11號8樓-4,0.0,住,,,1011011,土地0建物1車位0,八層,9,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940202,36.79,1,1,1,有,有,有,25000,680,,0.0,0,,RPXNMLMJJIHFFFA77CC
大安區,建物,台北市大安區光復南路98之2號三樓,0.0,住,,,1011012,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0761105,108.26,1,1,2,有,有,有,40000,369,,0.0,0,,RPQOMLMJJIHFFFA17CC
北投區,建物,台北市北投區文林北路３００號６樓之３,0.0,住,,,1011007,土地0建物1車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850228,39.2,0,1,1,有,有,無,20000,510,,0.0,0,,RPPPMLMJJIHFFEA07CC
士林區,房地(土地+建物),台北市士林區士東路266巷5弄12號1樓,27.11,住,,,1011023,土地4建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0700626,58.08,0,0,0,無,無,無,30000,517,,0.0,0,,RPQPMLMJJIHFFEA17CC
松山區,建物,台北市松山區八德路三段155巷4弄26號2樓,0.0,商,,,1011022,土地0建物0車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,17.38,1,0,1,有,無,有,7000,403,,0.0,0,,RPUPMLMJJIHFFDA47CC
信義區,房地(土地+建物),台北市信義區永吉路69號5樓,0.0,商,,,1011008,土地1建物1車位0,五層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0891026,89.77,3,2,2,有,有,有,52000,579,,0.0,0,,RPPQMLMJJIHFFDA07CC
南港區,建物,台北市南港區興華路７５號,0.0,商,,,1011005,土地0建物1車位0,一層,14,店面(店鋪),見其他登記事項,鋼骨鋼筋混凝土造,0950111,120.32,0,0,0,無,有,無,73500,611,,0.0,0,,RPUSMLMJJIHFFDA77CC
信義區,建物,台北市信義區松隆路１號、１之１號,0.0,住,,,1011012,土地0建物2車位0,一層,9,店面(店鋪),商業用,鋼筋混凝土造,0770401,146.42000000000002,0,0,0,無,有,無,75000,512,,0.0,0,,RPPTMLMJJIHFFDA37CC
中正區,建物,台北市中正區仁愛路二段48-6號,0.0,住,,,1011008,土地0建物1車位2,一層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0840724,302.7,0,0,1,無,有,無,168000,555,升降機械,0.0,0,,RPQNMLMJJIHFFBA66CC
大同區,建物,台北市大同區重慶北路二段80巷6號,0.0,商,,,1011031,土地0建物1車位0,一層,4,店面(店鋪),商業用,鋼筋混凝土造,0650422,53.97,1,1,1,有,無,無,16000,296,,0.0,0,,RPOOMLMJJIHFFBA56CC
中山區,建物,台北市中山區民生東路93號,0.0,商,,,1010831,土地0建物0車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,19.01,1,0,1,有,無,有,6000,316,,0.0,0,,RPXNMLMJJIHFFCA47CC
中山區,建物,台北市中山區建國北路2段9-2號10樓-9,0.0,住,,,1011011,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0950713,59.739999999999995,2,1,1,有,有,有,30000,502,,0.0,0,,RPOOMLMJJIHFFCA66CC
中山區,建物,台北市中山區林森北路308號14樓之3,0.0,商,,,1011026,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990409,76.7,1,1,1,有,有,有,40000,522,,0.0,0,,RPPOMLMJJIHFFCA76CC
中山區,建物,台北市中山區中山北路二段168-3號4樓之3,0.0,商,,,1011027,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0951129,41.45,1,0,1,有,有,有,25000,603,,0.0,0,,RPQOMLMJJIHFFCA86CC
中山區,建物,台北市中山區林森北路508號7樓,0.0,商,,,1011022,土地0建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0661021,111.04,3,2,1,有,有,有,28000,252,,0.0,0,,RPTOMLMJJIHFFCA17CC
中山區,建物,台北市中山區新生北路一段45號1樓,190.0,住,,,1011026,土地0建物1車位0,見其他登記事項,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0750218,1250.33,9,9,9,有,無,無,250000,200,,0.0,0,,RPUOMLMJJIHFFCA27CC
中山區,建物,台北市中山區德惠街16號9樓之4,0.0,商,,,1011022,土地0建物1車位0,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710419,33.24,1,0,1,有,有,有,15000,451,,0.0,0,,RPVOMLMJJIHFFCA37CC
中山區,建物,台北市中山區南京西路12巷10弄8號,0.0,商,,,1011023,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0661102,75.68,1,0,1,有,無,有,15000,198,,0.0,0,,RPWOMLMJJIHFFCA47CC
中山區,建物,台北市中山區林森北路145巷29號2樓,0.0,商,,,1011026,土地0建物0車位0,二層,3,套房(1房1廳1衛),,加強磚造,,32.22,1,1,1,有,無,有,14500,450,,0.0,0,,RPXOMLMJJIHFFCA57CC
內湖區,房地(土地+建物)+車位,台北市內湖區大湖街131巷18弄63號,218.77,住,,,1011020,土地1建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,0760629,333.59,6,3,4,有,有,有,90000,270,坡道平面,71.58,0,,RPVPMLMJJIHFFCA47CC
中山區,建物,台北市中山區建國北路二段9-2號4樓,0.0,住,,,1011101,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0950713,99.18,1,1,1,有,有,有,38000,383,,0.0,0,,RPXPMLMJJIHFFCA67CC
中山區,建物,台北市中山區南京東路二段108號12樓之9,0.0,其他,,,1010808,土地0建物1車位0,十二層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990917,47.46,1,1,1,有,有,有,27000,569,,0.0,0,,RPSQMLMJJIHFFCA27CC
內湖區,建物,台北市內湖區港華街51巷8弄1號1樓,38.1,住,,,1011031,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0740618,103.55000000000001,1,2,1,有,無,無,33000,319,,0.0,0,,RPVQMLMJJIHFFCA57CC
中山區,建物,台北市中山區龍江路４２號３樓,0.0,住,,,1011009,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0690412,220.14000000000001,0,1,2,有,無,無,53333,242,,0.0,0,,RPWQMLMJJIHFFCA67CC
內湖區,建物,台北市內湖區成功路四段30巷28弄23號13樓之1,0.0,商,,,1010923,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840211,66.48,2,1,1,有,有,無,19000,286,,0.0,0,,RPXQMLMJJIHFFCA77CC
中山區,房地(土地+建物),台北市中山區松江路307號4樓,33.0,商,,,1011005,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,95.77,2,1,1,有,無,有,20000,209,,0.0,0,,RPPRMLMJJIHFFCA07CC
中山區,建物,台北市中山區中山北路2段65巷9號10樓之5,5.98,住,,,1011023,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0901112,81.22999999999999,2,1,1,有,有,有,40000,492,,0.0,0,,RPPNMLNJJIHFFCA76CC
中山區,建物,台北市中山區中山北路三段9號,0.0,商,,,1011011,土地0建物1車位0,,4,店面(店鋪),見使用執照,鋼筋混凝土造,0760923,494.44,0,0,0,無,無,無,170000,344,,0.0,0,,RPQNMLNJJIHFFCA86CC
中山區,建物,台北市中山區南京東路三段89巷27弄1號3樓,0.0,住,,,1011102,土地0建物1車位0,三層,17,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0980901,149.12,3,2,2,有,有,有,74580,500,,0.0,0,,RPRNMLNJJIHFFCA96CC
信義區,建物,台北市信義區松勤街9號19樓之10,6.14,住,,,1011015,土地0建物1車位0,十九層,19,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0961225,49.11,1,1,1,有,有,有,33500,682,,0.0,0,,RPTNMLNJJIHFFDA27CC
大安區,建物,台北市大安區信義路二段12號8樓之2,0.0,住,,,1011101,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970908,59.78,1,1,1,有,有,有,32700,547,,0.0,0,,RPPNMLNJJIHFFFA07CC
大安區,建物,台北市大安區敦化南路二段180號9樓,0.0,其他,,,1011101,土地0建物1車位0,九層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0781014,225.29,3,0,1,有,有,無,70000,311,,0.0,0,,RPQNMLNJJIHFFFA17CC
大安區,建物,台北市大安區敦化南路二段182號9樓,0.0,其他,,,1011101,土地0建物1車位1,九層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0781014,220.45999999999998,2,0,1,有,有,無,78000,354,坡道平面,0.0,8000,,RPRNMLNJJIHFFFA27CC
大安區,建物,台北市大安區敦化南路二段63巷57號10樓之2,0.0,住,,,1011030,土地0建物1車位0,十層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0741218,208.75,4,2,2,有,有,有,53000,254,,0.0,0,,RPTNMLNJJIHFFFA47CC
大安區,建物,台北市大安區東豐街17號5樓,0.0,住,,,1011102,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720906,196.92000000000002,3,2,2,有,有,有,80000,406,,0.0,0,,RPUNMLNJJIHFFFA57CC
中正區,建物,台北市中正區南昌路二段70號2樓之3,0.0,,,,1011101,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0711111,47.43,2,1,1,有,無,有,20500,432,,0.0,0,,RPPNMLNJJIHFFAA56CC
中正區,建物,台北市中正區忠孝西路一段100號7樓,0.0,商,,,1011008,土地0建物2車位0,七層,14,辦公商業大樓,商業用,見使用執照,0881229,956.24,0,0,0,無,有,無,401751,420,,0.0,0,,RPPNMLOJJIHFFBA76CC
內湖區,建物,台北市內湖區石潭路67號5樓,0.0,商,,,1011030,土地0建物1車位0,五層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1001111,263.08000000000004,0,0,0,無,有,無,71622,272,,0.0,0,,RPQNMLOJJIHFFCA96CC
內湖區,建物,台北市內湖區基湖路3巷13號,0.0,工,,,1011030,土地0建物1車位2,一層,8,店面(店鋪),工業用,鋼筋混凝土造,0980120,314.49,0,0,0,無,有,無,120000,382,坡道平面,69.44,0,,RPRQMLPJJIHFFCA47CC
中山區,建物,台北市中山區中山北路二段59巷2弄2號5樓之5,0.0,商,,,1011029,土地0建物1車位0,五層,6,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0670321,26.48,1,0,1,有,無,有,8500,321,,0.0,0,,RPTQMLPJJIHFFCA67CC
中山區,建物,台北市中山區南京東路二段115巷28號1樓,0.0,商,,,1011031,土地0建物1車位0,一層,10,店面(店鋪),商業用,鋼筋混凝土造,0971218,16.78,0,1,0,有,有,無,18000,1073,,0.0,0,,RPWRMLPJJIHFFCA08CC
中山區,建物,台北市中山區南京東路二段115巷26號1樓,0.0,商,,,1011105,土地0建物1車位0,一層,10,店面(店鋪),商業用,鋼筋混凝土造,0971218,13.4,0,1,0,有,有,無,15000,1119,,0.0,0,,RPXRMLPJJIHFFCA18CC
中山區,房地(土地+建物),台北市中山區南京東路二段115巷22號1樓,0.0,商,,,1011031,土地0建物1車位0,一層,10,店面(店鋪),商業用,鋼筋混凝土造,0971218,13.68,0,1,0,無,有,無,18000,1316,,0.0,0,,RPPSMLPJJIHFFCA47CC
中山區,建物,台北市中山區林森北路536號十四樓之3,0.0,商,,,1011007,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940826,43.95,1,1,1,有,有,有,25000,569,,0.0,0,,RPWSMLPJJIHFFCA18CC
中正區,建物,台北市中正區中華路1段41號10樓之14,1506.0,商,,,1011005,土地0建物1車位0,十層,15,辦公商業大樓,,鋼筋混凝土加強磚造,,5663.93,0,0,0,無,有,無,2484343,439,,0.0,0,,RPSNMLPJJIHFFBA17CC
中正區,建物,台北市中正區泰安街2巷2號4樓,0.0,,,,1011101,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,26.45,1,1,1,有,無,有,10000,378,,0.0,0,,RPXOMLPJJIHFFBA77CC
大同區,房地(土地+建物),台北市大同區民族西路44號3樓,29.0,商,,,1011002,土地1建物1車位0,三層,3,公寓(5樓含以下無電梯),住商用,加強磚造,,73.14,0,0,1,無,無,無,18000,246,,0.0,0,,RPTPMLPJJIHFFBA47CC
大同區,房地(土地+建物),台北市大同區承德路三段202，204號,186.25,商,,,1011011,土地2建物7車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0631118,585.74,0,0,4,無,無,無,170000,290,,0.0,0,,RPXPMLPJJIHFFBA87CC
大同區,房地(土地+建物),台北市大同區貴德街81號1樓D棟,21.44,住,,,1011013,土地1建物0車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0721227,30.93,1,1,1,有,無,有,12300,398,,0.0,0,,RPOQMLPJJIHFFBA07CC
松山區,建物,台北市松山區光復北路230巷51號4樓,0.0,住,,,1011102,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0900320,116.45,2,2,1,有,有,有,28000,240,,0.0,0,,RPWOMLPJJIHFFDA87CC
信義區,建物,台北市信義區基隆路一段101巷2號5樓2室,0.0,商,,,1011102,土地0建物1車位1,五層,14,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0910104,48.160000000000004,1,1,1,有,有,有,22500,467,升降機械,0.0,0,,RPURMLPJJIHFFDA97CC
松山區,房地(土地+建物),台北市松山區富錦街8號5樓之3,6.57,其他,,,1010901,土地1建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.17,2,1,1,有,有,無,22000,226,,0.0,0,,RPTSMLPJJIHFFDA97CC
南港區,房地(土地+建物),台北市南港區重陽路166巷16弄10號4樓,23.25,住,,,1011009,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0591015,66.04,3,2,1,有,無,無,11000,167,,0.0,0,,RPOUMLPJJIHFFDA67CC
中正區,建物,台北市中正區和平西路1段80號3樓,0.0,,,,1011115,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0710225,124.35,3,2,2,有,無,有,33000,265,,0.0,0,,RPPQMLPJJIHFFAA07CC
大安區,建物,台北市大安區四維路198巷38弄8號2樓之6,0.0,住,,,1011008,土地0建物1車位0,二層,19,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0740522,68.05,1,0,0,有,有,無,17000,250,,0.0,0,,RPSOMLPJJIHFFFA77DC
大安區,建物,台北市大安區四維路198巷38弄8號2樓之2,0.0,住,,,1011027,土地0建物1車位0,二層,19,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0740522,71.1,1,0,0,有,有,無,18000,253,,0.0,0,,RPUOMLPJJIHFFFA97DC
大安區,建物,台北市大安區安和路二段22號1樓,0.0,住,,,1011018,土地0建物1車位0,一層,12,店面(店鋪),商業用,鋼筋混凝土造,0710514,119.14999999999999,2,1,2,有,有,無,70000,587,,0.0,0,,RPTNMLPJJIHFFFA67CC
大安區,建物,台北市大安區復興南路一段205號7樓,0.0,商,,,1011006,土地0建物1車位0,七層,12,辦公商業大樓,住家用,鋼筋混凝土造,0780201,379.73,5,1,1,有,有,有,160000,421,,0.0,0,,RPUNMLPJJIHFFFA77CC
士林區,建物,台北市士林區德行東路238號3樓,0.0,住,,,1011102,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750606,145.39,4,1,2,有,無,有,27000,186,,0.0,0,,RPUNMLPJJIHFFEA67CC
士林區,建物,台北市士林區天母北路22號7樓,0.0,住,,,1011005,土地0建物0車位0,七層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0670322,129.86,4,1,2,有,有,有,70000,539,,0.0,0,,RPUOMLPJJIHFFEA77CC
士林區,房地(土地+建物),台北市士林區華齡街22巷15弄3號2樓,31.36,住,,,1011001,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690526,112.63,3,2,1,有,無,有,20000,178,,0.0,0,,RPWOMLPJJIHFFEA97CC
士林區,房地(土地+建物),台北市士林區社子街146巷7弄1號1樓,39.5,住,,,1011011,土地1建物1車位0,一層,2,公寓(5樓含以下無電梯),住家用,加強磚造,0571207,61.92,2,2,1,有,無,無,10000,161,,0.0,0,,RPXOMLPJJIHFFEA08CC
士林區,建物,台北市士林區磺溪街58巷12號,0.0,住,,,1011007,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0540730,80.44,0,0,2,無,無,無,28000,348,,0.0,0,,RPQOMLQJJIHFFEA47CC
大安區,建物,台北市大安區和平東路一段73號2樓之1,0.0,,,,1011031,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0751224,82.13999999999999,1,1,1,有,有,無,25000,304,,0.0,0,,RPSNMLQJJIHFFFA67CC
大安區,建物,台北市大安區基隆路二段132巷8-1號3樓,0.0,住,,,1011008,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,109.35,3,2,2,有,無,有,28000,256,,0.0,0,,RPVNMLQJJIHFFFA97CC
大安區,建物,台北市大安區安和路一段101號四樓,0.0,住,,,1010810,土地0建物1車位1,四層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0700216,163.32,4,2,2,有,無,有,59000,361,坡道平面,0.0,0,,RPQOMLQJJIHFFFA57CC
大安區,房地(土地+建物),台北市大安區敦化南路一段157巷23號1樓,169.04,商,,,1011101,土地1建物0車位0,一層,1,店面(店鋪),,鋼筋混凝土造,,251.0,0,0,0,有,無,無,95000,378,,0.0,0,,RPUOMLQJJIHFFFA97CC
大安區,房地(土地+建物),台北市大安區敦化南路一段161巷29號,160.0,商,,,1011101,土地1建物1車位0,一層,1,店面(店鋪),住家用,鋼筋混凝土造,,106.84,0,0,0,有,無,無,280000,2621,,0.0,0,,RPWOMLQJJIHFFFA18CC
大安區,建物,台北市大安區忠孝東路四段53之1號,0.0,商,,,1011016,土地0建物1車位0,一層,11,店面(店鋪),住家用,鋼筋混凝土造,,159.48,3,1,2,有,有,無,250000,1568,,0.0,0,,RPXOMLQJJIHFFFA28CC
中山區,房地(土地+建物)+車位,台北市中山區樂群二路197號6樓之6,9.58,其他,,,1011002,土地1建物1車位1,六層,11,辦公商業大樓,商業用,鋼筋混凝土造,0970603,52.77,0,0,0,無,無,有,25000,474,坡道機械,0.0,0,,RPUPMLQJJIHFFCA87DC
中山區,房地(土地+建物)+車位,台北市中山區樂群二路297號6樓之6,9.58,其他,,,1011002,土地1建物1車位1,六層,11,辦公商業大樓,商業用,鋼筋混凝土造,0970603,52.77,0,0,0,無,有,有,25000,474,坡道機械,18.98,0,,RPXPMLQJJIHFFCA18DC
中正區,建物,台北市中正區林森南路120號1F+B1,476.0,,,,1011106,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0780606,207.83,0,0,0,無,有,無,83000,399,,0.0,0,,RPTOMLQJJIHFFAA37CC
信義區,建物,台北市信義區松勤街9號8樓、松勤街9號,0.0,其他,,,1011011,土地0建物2車位0,八層,19,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0961225,65.13,1,1,1,有,有,有,44450,682,,0.0,0,,RPOPMLQJJIHFFDA37DC
松山區,房地(土地+建物),台北市松山區南京東路四段105號1樓,9.48,商,,,1011201,土地1建物1車位0,一層,1,店面(店鋪),商業用,鋼筋混凝土造,0760119,84.54,0,0,0,有,無,無,140000,1656,,0.0,0,,RPTQMLQJJIHFFDA87CC
松山區,建物,台北市松山區延壽街68號4樓之1,0.0,住,,,1011201,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,0811008,124.37,3,2,2,有,有,有,25000,201,,0.0,0,,RPWQMLQJJIHFFDA18CC
松山區,房地(土地+建物)+車位,台北市松山區民生東路三段130巷9號5樓,0.0,其他,,,1011101,土地0建物1車位3,五層,14,辦公商業大樓,商業用,鋼筋混凝土造,0820507,944.64,0,0,0,無,有,無,300000,318,坡道平面,0.0,0,,RPWRMLQJJIHFFDA28CC
內湖區,建物,台北市內湖區金湖路350號,0.0,住,,,1011020,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0880105,105.09,0,0,1,無,有,無,60000,571,,0.0,0,,RPTNMLQJJIHFFCA47CC
中山區,建物,台北市中山區復興北路460號六樓之二,0.0,住,,,1011008,土地0建物1車位0,六層,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0910207,48.37,1,1,1,有,有,有,23000,476,,0.0,0,,RPVNMLQJJIHFFCA67CC
中山區,建物,台北市中山區新生北路２段７６號二樓之五,0.0,商,,,1011008,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970925,33.06,1,1,1,有,無,有,14000,423,,0.0,0,,RPWNMLQJJIHFFCA77CC
中山區,建物,台北市中山區長春路100號4樓之4,0.0,其他,,,1010813,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0640626,51.790000000000006,2,1,1,有,有,有,25000,483,,0.0,0,,RPSPMLQJJIHFFCA57CC
中山區,建物,台北市中山區中山北路二段59巷45號4F之11,4.13,商,,,1011020,土地0建物1車位0,四層,16,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0880928,51.39,0,0,0,無,有,有,15000,292,,0.0,0,,RPUNMLRJJIHFFCA67CC
內湖區,建物,台北市內湖區新湖二路128號5樓之1,0.0,商,,,1011102,土地0建物1車位0,三層,6,廠辦,工業用,鋼筋混凝土造,0920910,180.17,0,0,0,有,有,無,58000,322,,0.0,0,,RPVNMLRJJIHFFCA77CC
